PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
34,https://visitbanjarmasin.id/,,text/plain,false,308,43,https://www.visitbanjarmasin.id/,200,,,https://www.visitbanjarmasin.id/,200,false,66,1,
9,https://visitbanjarmasin.id/id/budaya,,text/plain,false,308,8,https://www.visitbanjarmasin.id/id/budaya,308,,,"https://www.visitbanjarmasin.id/id/budaya
https://www.visitbanjarmasin.id/budaya","308
200",false,56,0,https://www.visitbanjarmasin.id/
7,https://visitbanjarmasin.id/id/kuliner,,text/plain,false,308,6,https://www.visitbanjarmasin.id/id/kuliner,308,,,"https://www.visitbanjarmasin.id/id/kuliner
https://www.visitbanjarmasin.id/kuliner","308
200",false,56,0,https://www.visitbanjarmasin.id/
3,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi,308,,,"https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi
https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-kayutangi","308
200",false,56,0,https://www.visitbanjarmasin.id/
3,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,308,,,"https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan
https://www.visitbanjarmasin.id/explore/tempat-wisata-di-lok-baintan","308
200",false,56,0,https://www.visitbanjarmasin.id/
3,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,308,,,"https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah
https://www.visitbanjarmasin.id/explore/hotel-murah-di-banjarmasin-tengah","308
200",false,56,0,https://www.visitbanjarmasin.id/
3,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,308,,,"https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara
https://www.visitbanjarmasin.id/explore/sewa-mobil-di-banjarmasin-utara","308
200",false,56,0,https://www.visitbanjarmasin.id/
3,https://visitbanjarmasin.id/id/wisata,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/wisata,308,,,"https://www.visitbanjarmasin.id/id/wisata
https://www.visitbanjarmasin.id/wisata","308
200",false,56,0,https://www.visitbanjarmasin.id/
3,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan,308,,,"https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan
https://www.visitbanjarmasin.id/explore/wisata-kuliner-di-banjarmasin-selatan","308
200",false,56,0,https://www.visitbanjarmasin.id/
3,https://visitbanjarmasin.id/en,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en,200,,,https://www.visitbanjarmasin.id/en,200,false,62,0,https://visitbanjarmasin.id/
3,https://visitbanjarmasin.id/id,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id,308,,,"https://www.visitbanjarmasin.id/id
https://www.visitbanjarmasin.id/","308
200",false,56,0,https://www.visitbanjarmasin.id/
