PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,No. of all inlinks,First found at
5,https://www.visitbanjarmasin.id/en,Visit Banjarmasin | Tourism & Cultural Exploration Portal,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en,308,,,0,92,https://visitbanjarmasin.id/en
5,https://www.visitbanjarmasin.id/zh,马辰旅游官方指南：探索千河之城景点与文化 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh,308,,,0,92,https://visitbanjarmasin.id/zh
5,https://www.visitbanjarmasin.id/,Visit Banjarmasin | Portal Eksplorasi Wisata & Budaya,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/,308,,,0,94,
5,https://www.visitbanjarmasin.id/wisata,Destinasi Wisata Unggulan & Susur Sungai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/wisata,308,,,0,93,https://www.visitbanjarmasin.id/
5,https://www.visitbanjarmasin.id/zh/wisata,马辰顶级旅游目的地与水上市场游船指南 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/wisata,308,,,0,92,https://visitbanjarmasin.id/zh/wisata
5,https://www.visitbanjarmasin.id/ms,Visit Banjarmasin | Portal Penerokaan Pelancongan & Budaya,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms,308,,,0,92,https://visitbanjarmasin.id/ms
5,https://www.visitbanjarmasin.id/en/wisata,Top Tourist Destinations & River Tours | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/wisata,308,,,0,92,https://visitbanjarmasin.id/en/wisata
5,https://www.visitbanjarmasin.id/ms/wisata,Destinasi Pelancongan Menarik & Susur Sungai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/wisata,308,,,0,92,https://visitbanjarmasin.id/ms/wisata
1,https://www.visitbanjarmasin.id/en/profil,City Profile & Vision of Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/profil,308,,,0,14,https://visitbanjarmasin.id/en/profil
1,https://www.visitbanjarmasin.id/zh/budaya,班查传统艺术、Sasirangan织物与文化遗产 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/budaya,308,,,0,14,https://visitbanjarmasin.id/zh/budaya
1,https://www.visitbanjarmasin.id/culture-verse,Virtual Tour 3D Museum Banjar | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/culture-verse,308,,,0,15,https://www.visitbanjarmasin.id/
1,https://www.visitbanjarmasin.id/zh/panduan,马辰旅游实用指南：BRT公交线路与交通贴士 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/panduan,308,,,0,15,https://visitbanjarmasin.id/zh/panduan
1,https://www.visitbanjarmasin.id/zh/kuliner,正宗班查传统美食与特色小吃指南 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/kuliner,308,,,0,14,https://visitbanjarmasin.id/zh/kuliner
1,https://www.visitbanjarmasin.id/zh/culture-verse,3D虚拟博物馆之旅与文化探索 | 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/culture-verse,308,,,0,15,https://visitbanjarmasin.id/zh/culture-verse
1,https://www.visitbanjarmasin.id/zh/profil,马辰城市概况与千河之城发展愿景 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/profil,308,,,0,14,https://visitbanjarmasin.id/zh/profil
1,https://www.visitbanjarmasin.id/kuliner,Kuliner Khas & Rumah Makan Legendaris | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/kuliner,308,,,0,15,https://www.visitbanjarmasin.id/
1,https://www.visitbanjarmasin.id/sejarah,Jejak Sejarah 1526 & Kesultanan Banjar | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/sejarah,308,,,0,14,https://www.visitbanjarmasin.id/
1,https://www.visitbanjarmasin.id/ms/culture-verse,Lawatan Maya 3D Muzium Banjar | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/culture-verse,308,,,0,15,https://visitbanjarmasin.id/ms/culture-verse
1,https://www.visitbanjarmasin.id/ms/panduan,"Panduan Pelancongan, Hotel & Pengangkutan Awam | Visit Banjarmasin",text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/panduan,308,,,0,15,https://visitbanjarmasin.id/ms/panduan
1,https://www.visitbanjarmasin.id/profil,"Profil Kota Banjarmasin: Visi, Pimpinan & Tata Kota | Visit Banjarmasin",text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/profil,308,,,0,14,https://www.visitbanjarmasin.id/
1,https://www.visitbanjarmasin.id/en/smart-city,Smart City Innovation & Live Public CCTV | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/smart-city,308,,,0,14,https://visitbanjarmasin.id/en/smart-city
1,https://www.visitbanjarmasin.id/ms/smart-city,Inovasi Bandar Pintar & CCTV Awam Langsung | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/smart-city,308,,,0,14,https://visitbanjarmasin.id/ms/smart-city
1,https://www.visitbanjarmasin.id/panduan,"Panduan Wisata, Hotel & Transportasi BRT | Visit Banjarmasin",text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/panduan,308,,,0,15,https://www.visitbanjarmasin.id/
1,https://www.visitbanjarmasin.id/smart-city,Inovasi Smart City & CCTV Publik Live | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/smart-city,308,,,0,14,https://www.visitbanjarmasin.id/
1,https://www.visitbanjarmasin.id/ms/sejarah,Jejak Sejarah 1526 & Kesultanan Banjar | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/sejarah,308,,,0,14,https://visitbanjarmasin.id/ms/sejarah
1,https://www.visitbanjarmasin.id/ms/kuliner,Kulinari Khas & Makanan Tradisi Banjar | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/kuliner,308,,,0,14,https://visitbanjarmasin.id/ms/kuliner
1,https://www.visitbanjarmasin.id/ms/budaya,Seni & Budaya Banjar: Sasirangan & Warisan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/budaya,308,,,0,14,https://visitbanjarmasin.id/ms/budaya
1,https://www.visitbanjarmasin.id/en/panduan,"Travel Guide, Hotels & BRT Public Transport | Visit Banjarmasin",text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/panduan,308,,,0,15,https://visitbanjarmasin.id/en/panduan
1,https://www.visitbanjarmasin.id/en/kuliner,Authentic Culinary & Banjar Food Guide | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/kuliner,308,,,0,14,https://visitbanjarmasin.id/en/kuliner
1,https://www.visitbanjarmasin.id/en/sejarah,Historical Traces & 1526 Banjar Sultanate | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/sejarah,308,,,0,14,https://visitbanjarmasin.id/en/sejarah
1,https://www.visitbanjarmasin.id/zh/sejarah,班查苏丹国历史与马辰历史遗迹探索 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/sejarah,308,,,0,14,https://visitbanjarmasin.id/zh/sejarah
1,https://www.visitbanjarmasin.id/en/culture-verse,3D Virtual Museum Tour | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/culture-verse,308,,,0,15,https://visitbanjarmasin.id/en/culture-verse
1,https://www.visitbanjarmasin.id/ms/profil,Profil Bandar Banjarmasin: Visi & Kemajuan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/profil,308,,,0,14,https://visitbanjarmasin.id/ms/profil
1,https://www.visitbanjarmasin.id/budaya,Seni & Budaya Banjar: Sasirangan & Warisan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/budaya,308,,,0,15,https://www.visitbanjarmasin.id/
1,https://www.visitbanjarmasin.id/en/budaya,"Arts, Heritage & Banjar Culture Guide | Visit Banjarmasin",text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/budaya,308,,,0,14,https://visitbanjarmasin.id/en/budaya
1,https://www.visitbanjarmasin.id/zh/smart-city,马辰智慧城市：数字化转型与公共闭路电视 | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/smart-city,308,,,0,14,https://visitbanjarmasin.id/zh/smart-city
0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-kuin,Oleh-oleh Khas di Kuin（班贾尔马辛）| 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-kuin,308,,,0,1,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-kuin
0,https://www.visitbanjarmasin.id/zh/explore/tempat-wisata-di-sultan-adam,Tempat Wisata di Sultan Adam（班贾尔马辛）| 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/tempat-wisata-di-sultan-adam,308,,,0,1,https://visitbanjarmasin.id/zh/explore/tempat-wisata-di-sultan-adam
0,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-timur,Hotel Murah di Banjarmasin Timur（班贾尔马辛）| 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-timur
0,https://www.visitbanjarmasin.id/explore/tempat-wisata-di-banjarmasin-timur,Tempat Wisata di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/explore/tempat-wisata-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/explore/tempat-wisata-di-banjarmasin-timur
0,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-kuin,Wisata Kuliner di Kuin in Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-kuin,308,,,0,1,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-kuin
0,https://www.visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-timur,Wisata Kuliner di Banjarmasin Timur di Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-timur
0,https://www.visitbanjarmasin.id/explore/oleh-oleh-khas-di-kayutangi,Oleh-oleh Khas di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-kayutangi,308,,,0,1,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-kayutangi
0,https://www.visitbanjarmasin.id/zh/explore/wisata-kuliner-di-gatot-subroto,Wisata Kuliner di Gatot Subroto（班贾尔马辛）| 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/wisata-kuliner-di-gatot-subroto,308,,,0,1,https://visitbanjarmasin.id/zh/explore/wisata-kuliner-di-gatot-subroto
0,https://www.visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-sultan-adam,Tempat Nongkrong di Sultan Adam di Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-sultan-adam,308,,,0,1,https://visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-sultan-adam
