PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Referenced in sitemaps,No. of all inlinks
8,https://visitbanjarmasin.id/id/budaya,,text/plain,false,308,8,true,https://www.visitbanjarmasin.id/id/budaya,200,,,https://www.visitbanjarmasin.id/sitemap.xml,45
7,https://visitbanjarmasin.id/id/kuliner,,text/plain,false,308,6,true,https://www.visitbanjarmasin.id/id/kuliner,200,,,https://www.visitbanjarmasin.id/sitemap.xml,45
3,https://visitbanjarmasin.id/id/wisata,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/wisata,200,,,https://www.visitbanjarmasin.id/sitemap.xml,45
3,https://visitbanjarmasin.id/id,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id,200,,,https://www.visitbanjarmasin.id/sitemap.xml,45
2,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,37
2,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,37
2,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/sitemap.xml,37
2,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/sitemap.xml,37
2,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,37
1,https://visitbanjarmasin.id/id/smart-city,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/smart-city,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
1,https://visitbanjarmasin.id/id/profil,,text/plain,false,308,1,true,https://www.visitbanjarmasin.id/id/profil,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
1,https://visitbanjarmasin.id/id/profil-kota,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/profil-kota,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
