PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
32,https://visitbanjarmasin.id/,,text/plain,false,308,43,https://www.visitbanjarmasin.id/,307,,,"https://www.visitbanjarmasin.id/
https://www.visitbanjarmasin.id/id","307
200",false,37,1,
8,https://visitbanjarmasin.id/id/budaya,,text/plain,false,308,8,https://www.visitbanjarmasin.id/id/budaya,200,,,https://www.visitbanjarmasin.id/id/budaya,200,false,45,0,
7,https://visitbanjarmasin.id/id/kuliner,,text/plain,false,308,6,https://www.visitbanjarmasin.id/id/kuliner,200,,,https://www.visitbanjarmasin.id/id/kuliner,200,false,45,0,
3,https://visitbanjarmasin.id/id/wisata,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/wisata,200,,,https://www.visitbanjarmasin.id/id/wisata,200,false,45,0,
3,https://visitbanjarmasin.id/id,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id,200,,,https://www.visitbanjarmasin.id/id,200,false,45,0,
2,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi,200,,,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kayutangi,200,false,37,0,
2,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,200,false,37,0,
2,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,200,false,37,0,
2,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,200,false,37,0,
2,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan,200,false,37,0,
2,https://visitbanjarmasin.id/en,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en,200,,,https://www.visitbanjarmasin.id/en,200,false,42,0,https://visitbanjarmasin.id/id
1,https://visitbanjarmasin.id/id/smart-city,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/smart-city,200,,,https://www.visitbanjarmasin.id/id/smart-city,200,false,9,0,
1,https://visitbanjarmasin.id/id/profil,,text/plain,false,308,1,https://www.visitbanjarmasin.id/id/profil,200,,,https://www.visitbanjarmasin.id/id/profil,200,false,9,0,
1,https://visitbanjarmasin.id/id/profil-kota,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/profil-kota,200,,,https://www.visitbanjarmasin.id/id/profil-kota,200,false,9,0,
1,https://visitbanjarmasin.id/id/panduan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/panduan,200,,,https://www.visitbanjarmasin.id/id/panduan,200,false,9,0,
1,https://visitbanjarmasin.id/id/sejarah,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/sejarah,200,,,https://www.visitbanjarmasin.id/id/sejarah,200,false,9,0,
1,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-selatan,,text/plain,false,308,1,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-selatan,200,false,2,0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-banjarmasin-selatan
0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-tengah,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-tengah,200,false,1,0,
0,https://visitbanjarmasin.id/en/explore/tempat-nongkrong-di-sungai-andai,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/tempat-nongkrong-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/en/explore/tempat-nongkrong-di-sungai-andai,200,false,2,0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-sungai-andai
0,https://visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-timur,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-timur,200,false,2,0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-timur
