PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,No. of all inlinks,First found at
5,https://www.visitbanjarmasin.id/en,Visit Banjarmasin | Explore Tourism & Culture,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en,308,,,0,87,https://visitbanjarmasin.id/en
5,https://www.visitbanjarmasin.id/id/wisata,Destinasi Wisata Unggulan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/wisata,308,,,0,87,https://visitbanjarmasin.id/id/wisata
5,https://www.visitbanjarmasin.id/zh,马辰旅游 | 探索旅游与文化,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh,308,,,0,87,https://visitbanjarmasin.id/zh
5,https://www.visitbanjarmasin.id/zh/wisata,顶级旅游目的地 | 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/wisata,308,,,0,87,https://visitbanjarmasin.id/zh/wisata
5,https://www.visitbanjarmasin.id/ms,Visit Banjarmasin | Penerokaan Pelancongan,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms,308,,,0,87,https://visitbanjarmasin.id/ms
5,https://www.visitbanjarmasin.id/id,Visit Banjarmasin | Eksplorasi Wisata & Budaya,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id,308,,,0,91,https://www.visitbanjarmasin.id/
5,https://www.visitbanjarmasin.id/en/wisata,Top Tourist Destinations | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/wisata,308,,,0,87,https://visitbanjarmasin.id/en/wisata
5,https://www.visitbanjarmasin.id/ms/wisata,Destinasi Pelancongan Menarik | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/wisata,308,,,0,87,https://visitbanjarmasin.id/ms/wisata
1,https://www.visitbanjarmasin.id/en/profil,City Profile | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/profil,308,,,0,9,https://visitbanjarmasin.id/en/profil
1,https://www.visitbanjarmasin.id/id/kuliner,Kuliner Khas Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/kuliner,308,,,0,9,https://visitbanjarmasin.id/id/kuliner
1,https://www.visitbanjarmasin.id/id/sejarah,Jejak Sejarah Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/sejarah,308,,,0,9,https://visitbanjarmasin.id/id/sejarah
1,https://www.visitbanjarmasin.id/zh/budaya,艺术与文化 | 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/budaya,308,,,0,9,https://visitbanjarmasin.id/zh/budaya
1,https://www.visitbanjarmasin.id/zh/panduan,旅游指南与交通 | 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/panduan,308,,,0,10,https://visitbanjarmasin.id/zh/panduan
1,https://www.visitbanjarmasin.id/zh/kuliner,正宗美食 | 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/kuliner,308,,,0,9,https://visitbanjarmasin.id/zh/kuliner
1,https://www.visitbanjarmasin.id/zh/profil,城市概况 | 马辰旅游,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/profil,308,,,0,9,https://visitbanjarmasin.id/zh/profil
1,https://www.visitbanjarmasin.id/id/smart-city,Smart City Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/smart-city,308,,,0,9,https://visitbanjarmasin.id/id/smart-city
1,https://www.visitbanjarmasin.id/ms/panduan,Panduan Pelancongan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/panduan,308,,,0,10,https://visitbanjarmasin.id/ms/panduan
1,https://www.visitbanjarmasin.id/en/smart-city,Smart City | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/smart-city,308,,,0,9,https://visitbanjarmasin.id/en/smart-city
1,https://www.visitbanjarmasin.id/ms/smart-city,Bandar Pintar | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/smart-city,308,,,0,9,https://visitbanjarmasin.id/ms/smart-city
