PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of redirect inlinks,No. of href inlinks
0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-kuin,Oleh-oleh Khas di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/tempat-wisata-di-sultan-adam,Tempat Wisata di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-timur,Hotel Murah di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-kuin,Wisata Kuliner di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-timur,Wisata Kuliner di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/wisata-kuliner-di-gatot-subroto,Wisata Kuliner di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-timur,Tempat Wisata di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-sultan-adam,Tempat Nongkrong di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-sultan-adam,Wisata Malam di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-barat,Oleh-oleh Khas di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/zh/explore/tempat-wisata-di-kayutangi,Tempat Wisata di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/tempat-wisata-di-banjarmasin-barat,Tempat Wisata di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-selatan,Oleh-oleh Khas di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-utara,Sewa Mobil di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-kuin,Hotel Murah di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-gatot-subroto,Tempat Nongkrong di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-kayutangi,Wisata Kuliner di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-timur,Hotel Murah di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-timur,Oleh-oleh Khas di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-kayutangi,Hotel Murah di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-kayutangi,Sewa Mobil di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan,Tempat Wisata di Lok Baintan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-timur,Wisata Malam di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-kuin,Tempat Nongkrong di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/oleh-oleh-khas-di-kuin,Oleh-oleh Khas di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-tengah,Sewa Mobil di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-kuin,Wisata Kuliner di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
